,Kilométrage,Année-Modèle,Marque,Modèle,Nombre de portes,Origine,Première main,carburant,puiFiscale,boiteVitesse,price
0,90 000 - 94 999,2012,Peugeot,206+,5,WW au Maroc,Non,Essence,6 CV,Manuelle,60000.0
1,25 000 - 29 999,2011,Peugeot,Partner,,,,Diesel,7 CV,Manuelle,62000.0
2,250 000 - 299 999,2010,Dacia,Sandero,5,,Non,Diesel,6 CV,Manuelle,65000.0
3,200 000 - 249 999,2008,Volkswagen,Touareg,5,WW au Maroc,Non,Diesel,12 CV,Automatique,
4,150 000 - 159 999,2008,Daihatsu,Sirion,,,,Essence,--,--,48000.0
5,170 000 - 179 999,2014,Dacia,Duster,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,98000.0
6,300 000 - 349 999,2004,Peugeot,407,5,WW au Maroc,Non,Diesel,8 CV,Manuelle,
7,130 000 - 139 999,2015,Porsche,Macan,5,WW au Maroc,Oui,Diesel,12 CV,Automatique,450000.0
8,10 000 - 14 999,1991,Mercedes-Benz,250,,Dédouanée,Non,Diesel,8 CV,Manuelle,40000.0
9,140 000 - 149 999,2012,Fiat,Punto,5,WW au Maroc,Non,Essence,6 CV,Manuelle,67000.0
10,75 000 - 79 999,2018,Toyota,Corolla,5,,Oui,Diesel,5 CV,Manuelle,140000.0
11,190 000 - 199 999,2006,Hyundai,Santa Fe,5,Dédouanée,Oui,Diesel,8 CV,Manuelle,
12,0 - 4 999,2021,Mercedes-Benz,Classe E,5,Importée neuve,Oui,Diesel,9 CV,Automatique,
13,110 000 - 119 999,2017,Citroen,C4,,,,Diesel,6 CV,Manuelle,117000.0
14,200 000 - 249 999,2004,Renault,Clio,5,WW au Maroc,,Diesel,6 CV,Manuelle,58000.0
15,55 000 - 59 999,2018,Nissan,Qashqai,5,WW au Maroc,Oui,Diesel,6 CV,Manuelle,207000.0
16,250 000 - 299 999,2008,Citroen,Berlingo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,87000.0
17,30 000 - 34 999,1984,Renault,R11,5,Importée neuve,Non,Diesel,5 CV,Manuelle,26000.0
18,180 000 - 189 999,2005,Peugeot,206,5,,,Diesel,--,Manuelle,60000.0
19,150 000 - 159 999,2013,Renault,Symbol,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,70000.0
20,110 000 - 119 999,2014,Dacia,Sandero,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,
21,200 000 - 249 999,2001,Renault,Clio,5,WW au Maroc,Non,Diesel,7 CV,Manuelle,38000.0
22,25 000 - 29 999,2001,Fiat,Palio,3,WW au Maroc,Non,Diesel,7 CV,Manuelle,34000.0
23,0 - 4 999,2011,Hyundai,Elantra,,,,Essence,9 CV,--,65000.0
24,300 000 - 349 999,2001,Volkswagen,Bora,5,,,Diesel,8 CV,Manuelle,57000.0
25,200 000 - 249 999,2007,Toyota,Corolla,5,WW au Maroc,Non,Essence,7 CV,Manuelle,73000.0
26,160 000 - 169 999,2014,Hyundai,i 40,,,,Diesel,7 CV,--,145000.0
27,95 000 - 99 999,2017,Citroen,Berlingo,5,WW au Maroc,Non,Diesel,6 CV,Manuelle,125000.0
28,150 000 - 159 999,2011,Renault,Clio,5,WW au Maroc,Non,Essence,7 CV,Manuelle,
